,dhat1,dhat2,dhat3,dhat4,time1,time2,time3,time4,k1,k2,k3,k4,newy,gamma
1,0.771959459,0.816799754,0.810964373,0.758906634,10.6716101,0.936425522,0.007253532,0.007297758,1492.857955,130,13,1,0.236640049,0
2,0.771805897,0.815264128,0.813574939,0.796222359,4.41438621,0.394269656,0.009053133,0.009052365,498.9390356,44,5,1,0.236640049,0.1
3,0.770884521,0.814957002,0.811117936,0.799447174,1.726652488,0.156558354,0.009424294,0.009447174,188.7965295,17,2,1,0.236640049,0.2
4,0.771038084,0.81480344,0.812807125,0.812807125,0.79234567,0.069266585,0.011669226,0.011638514,68.91738329,6,1,1,0.236640049,0.3
5,0.770423833,0.814035627,0.811271499,0.811271499,0.459220055,0.052800522,0.01756895,0.017635596,26.0995086,3,1,1,0.236640049,0.4
6,0.770116708,0.811117936,0.811117936,0.811117936,0.340580467,0.034321407,0.034241708,0.034251075,9.867321867,1,1,1,0.236640049,0.5
7,0.769041769,0.811578624,0.811578624,0.811578624,0.305941186,0.077723127,0.077365633,0.077380221,3.900798526,1,1,1,0.236640049,0.6
8,0.766431204,0.803593366,0.803593366,0.803593366,0.355653716,0.189911394,0.188929208,0.189378225,1.870853808,1,1,1,0.236640049,0.7
9,0.763359951,0.777027027,0.777027027,0.777027027,0.581705774,0.487504607,0.488021806,0.489157402,1.192567568,1,1,1,0.236640049,0.8
10,0.763359951,0.763359951,0.763359951,0.763359951,1.230475123,1.227507217,1.223505835,1.233655866,1,1,1,1,0.236640049,0.9
